word,X1,X2,X3,X4,X5
accpet,0,0,0,0,0.015151515151515152
acknowledged,0,0.07692307692307693,0,0,0
action,0.01639344262295082,0,0,0,0
air,0,0,0,0.016666666666666666,0
allowed,0,0,0,0.016666666666666666,0
assignments,0.01639344262295082,0,0,0,0
attracts,0.01639344262295082,0,0,0,0
aware,0.01639344262295082,0,0,0,0
balik,0,0,0,0.016666666666666666,0
behaviour,0.01639344262295082,0,0,0,0
bit,0,0.02564102564102564,0,0,0
break,0,0,0.029411764705882353,0,0
breathe,0,0,0.00980392156862745,0,0
bring,0,0,0.00980392156862745,0,0
broken,0,0,0.00980392156862745,0,0
busy,0.01639344262295082,0,0,0,0
button,0,0,0,0,0.015151515151515152
care,0.01639344262295082,0,0,0,0
charge,0,0,0.00980392156862745,0,0
charged,0,0,0.00980392156862745,0,0
churn,0,0,0,0.016666666666666666,0
city,0,0,0,0.016666666666666666,0
close,0,0,0,0,0.015151515151515152
coming,0,0,0.00980392156862745,0,0.015151515151515152
community,0,0,0.00980392156862745,0,0
compared,0,0,0,0,0.030303030303030304
complex,0,0,0.00980392156862745,0,0
connection,0.03278688524590164,0,0,0,0
conscious,0,0,0,0.016666666666666666,0
contribute,0,0.02564102564102564,0,0,0.015151515151515152
contributing,0,0,0.00980392156862745,0,0
corporate,0,0,0.00980392156862745,0,0
craft,0.01639344262295082,0,0,0,0
day,0,0,0.00980392156862745,0,0.030303030303030304
deep,0,0.02564102564102564,0,0,0.015151515151515152
develop,0.01639344262295082,0,0,0,0
didn,0,0,0.00980392156862745,0,0
doesn,0.01639344262295082,0,0,0,0
earthing,0,0,0,0,0.015151515151515152
effect,0,0,0,0,0.030303030303030304
embracing,0,0.02564102564102564,0,0,0
energise,0,0,0,0.016666666666666666,0
energy,0,0,0.00980392156862745,0,0
enhancing,0,0,0.00980392156862745,0,0
environment,0.01639344262295082,0.02564102564102564,0,0,0
essence,0,0,0,0,0.015151515151515152
everyday,0.01639344262295082,0,0,0,0
exhaust,0,0,0,0.016666666666666666,0
expectations,0.01639344262295082,0,0,0,0.015151515151515152
expected,0,0,0.00980392156862745,0,0
experience,0,0,0.0196078431372549,0,0
exposure,0,0,0.00980392156862745,0,0
express,0,0.02564102564102564,0,0,0
extent,0,0.02564102564102564,0,0,0
face,0,0,0,0.016666666666666666,0
fact,0,0,0.00980392156862745,0,0
failed,0,0,0,0.016666666666666666,0
failures,0,0,0.00980392156862745,0,0
family,0,0,0.00980392156862745,0,0
feel,0,0.1282051282051282,0.0196078431372549,0.05,0.045454545454545456
feeling,0,0,0.00980392156862745,0,0.030303030303030304
feelings,0,0.02564102564102564,0,0,0
female,0.01639344262295082,0,0,0,0
find,0,0,0,0.016666666666666666,0
fluidity,0,0,0.00980392156862745,0,0
forget,0,0,0,0.016666666666666666,0
free,0,0,0,0.016666666666666666,0
friends,0,0,0.00980392156862745,0,0
fulfil,0.03278688524590164,0,0,0,0
give,0,0,0.00980392156862745,0,0.015151515151515152
good,0,0.05128205128205128,0.00980392156862745,0.03333333333333333,0.030303030303030304
grading,0,0,0.00980392156862745,0,0
grateful,0,0,0.00980392156862745,0,0
greets,0,0,0.00980392156862745,0,0
grow,0,0,0.00980392156862745,0,0
growth,0,0,0.00980392156862745,0,0
gui,0.03278688524590164,0,0,0,0.015151515151515152
happier,0,0,0.00980392156862745,0,0
happiness,0,0,0.00980392156862745,0,0
happy,0,0.02564102564102564,0.0196078431372549,0,0
harsh,0.01639344262295082,0,0,0,0
heal,0,0.02564102564102564,0.00980392156862745,0.016666666666666666,0
healed,0,0,0.00980392156862745,0,0
healing,0,0.05128205128205128,0.0196078431372549,0,0
heals,0,0.02564102564102564,0,0,0
hectic,0,0,0,0.016666666666666666,0
helped,0,0,0.00980392156862745,0.016666666666666666,0
helps,0,0,0.00980392156862745,0,0.030303030303030304
high,0.01639344262295082,0,0,0,0
home,0,0,0,0,0.015151515151515152
hope,0,0,0,0.016666666666666666,0
human,0,0,0,0,0.015151515151515152
ideals,0,0,0,0,0.015151515151515152
imagine,0,0,0.00980392156862745,0,0
inclusive,0,0.02564102564102564,0,0,0
infecting,0,0,0.00980392156862745,0,0
instant,0,0,0,0,0.015151515151515152
interact,0,0.02564102564102564,0,0,0.015151515151515152
internship,0,0,0,0.016666666666666666,0
introspection,0.01639344262295082,0,0,0,0
introverted,0.01639344262295082,0,0,0,0
joy,0,0,0.00980392156862745,0,0
judgement,0,0.02564102564102564,0,0,0
kampung,0,0,0,0.016666666666666666,0
kind,0.01639344262295082,0.02564102564102564,0.0196078431372549,0,0.030303030303030304
kinder,0,0,0.00980392156862745,0,0
kitchen,0.01639344262295082,0,0,0,0
knowing,0.01639344262295082,0,0,0,0
kpis,0.01639344262295082,0,0,0,0
landscape,0,0,0,0,0.015151515151515152
larger,0,0,0,0,0.015151515151515152
life,0,0,0.0196078431372549,0,0.030303030303030304
lightens,0,0,0.00980392156862745,0,0
lighter,0,0,0.00980392156862745,0,0
long,0,0,0,0,0.015151515151515152
longer,0,0,0,0,0.030303030303030304
lot,0.01639344262295082,0,0.00980392156862745,0,0
make,0,0,0,0.016666666666666666,0
makes,0,0.07692307692307693,0.00980392156862745,0,0
manmade,0,0,0,0,0.015151515151515152
means,0.01639344262295082,0,0.00980392156862745,0,0
meditation,0,0,0,0.016666666666666666,0
medium,0.01639344262295082,0,0,0,0
mental,0,0,0.0196078431372549,0,0
mindset,0,0,0.00980392156862745,0,0
mistakes,0,0,0,0.016666666666666666,0
moment,0,0,0,0.016666666666666666,0
monotonous,0.01639344262295082,0,0,0,0
naturally,0.01639344262295082,0,0,0,0
nature,0.01639344262295082,0,0,0,0.030303030303030304
needed,0,0,0,0,0.015151515151515152
nurture,0,0,0.00980392156862745,0,0
nurturing,0,0,0.00980392156862745,0,0
open,0,0,0.00980392156862745,0,0
opportunities,0,0.02564102564102564,0,0,0
overly,0.01639344262295082,0,0,0,0
overwork,0.01639344262295082,0,0,0,0
past,0,0,0,0.016666666666666666,0
people,0.03278688524590164,0.05128205128205128,0.0392156862745098,0,0.015151515151515152
performance,0,0,0.00980392156862745,0,0
picture,0,0,0,0,0.015151515151515152
place,0.06557377049180328,0,0.029411764705882353,0.016666666666666666,0.015151515151515152
plan,0.01639344262295082,0,0,0,0
positive,0,0,0.00980392156862745,0,0
positively,0,0,0.0196078431372549,0,0
present,0,0,0,0.016666666666666666,0
pressure,0,0,0.00980392156862745,0,0
problems,0,0,0,0.03333333333333333,0
process,0.01639344262295082,0,0.00980392156862745,0,0
processing,0,0,0.00980392156862745,0,0
project,0,0,0,0.016666666666666666,0
purpose,0,0,0.00980392156862745,0,0
quiet,0.01639344262295082,0,0,0.016666666666666666,0
real,0,0,0,0.016666666666666666,0
realise,0,0,0,0.016666666666666666,0
receptive,0,0,0.00980392156862745,0,0
recharge,0,0,0.00980392156862745,0,0
reflect,0,0,0,0.03333333333333333,0
reflective,0,0,0,0.016666666666666666,0
refresehed,0,0,0,0.016666666666666666,0
relate,0,0,0.00980392156862745,0,0
relaxed,0,0,0.00980392156862745,0,0
relief,0,0,0,0,0.015151515151515152
replacement,0,0,0.00980392156862745,0,0
reset,0,0,0,0,0.015151515151515152
resilient,0,0.02564102564102564,0,0,0
respect,0,0,0,0,0.015151515151515152
routine,0.01639344262295082,0,0,0,0
safety,0.01639344262295082,0,0,0,0
sense,0.01639344262295082,0,0,0,0.030303030303030304
serve,0,0,0.00980392156862745,0,0
session,0,0,0,0.016666666666666666,0
singapore,0,0,0,0,0.015151515151515152
skin,0,0,0,0.016666666666666666,0
slow,0.01639344262295082,0,0,0,0
smile,0,0,0.00980392156862745,0,0
